# Wall shear stress
# Time        	patch         	min           	max           
5.000000e+02	bottomWall	(-5.002823e-04 3.468905e-15 0.000000e+00)	(-5.002823e-04 3.468905e-15 0.000000e+00)
5.000000e+02	topWall	(-5.002823e-04 8.774888e-17 0.000000e+00)	(-5.002823e-04 8.774888e-17 0.000000e+00)
1.000000e+03	bottomWall	(-3.215378e-04 2.030662e-15 0.000000e+00)	(-3.215378e-04 2.030662e-15 0.000000e+00)
1.000000e+03	topWall	(-3.215378e-04 3.320669e-17 0.000000e+00)	(-3.215378e-04 3.320669e-17 0.000000e+00)
1.500000e+03	bottomWall	(-2.443305e-04 2.494651e-15 0.000000e+00)	(-2.443305e-04 2.494651e-15 0.000000e+00)
1.500000e+03	topWall	(-2.443305e-04 -1.435718e-16 0.000000e+00)	(-2.443305e-04 -1.435718e-16 0.000000e+00)
2.000000e+03	bottomWall	(-1.994284e-04 -2.043964e-15 0.000000e+00)	(-1.994284e-04 -2.043964e-15 0.000000e+00)
2.000000e+03	topWall	(-1.994284e-04 -6.863198e-17 0.000000e+00)	(-1.994284e-04 -6.863198e-17 0.000000e+00)
2.500000e+03	bottomWall	(-1.695294e-04 -6.694276e-15 0.000000e+00)	(-1.695294e-04 -6.694276e-15 0.000000e+00)
2.500000e+03	topWall	(-1.695294e-04 5.664515e-17 0.000000e+00)	(-1.695294e-04 5.664515e-17 0.000000e+00)
3.000000e+03	bottomWall	(-1.479996e-04 7.536183e-15 0.000000e+00)	(-1.479996e-04 7.536183e-15 0.000000e+00)
3.000000e+03	topWall	(-1.479996e-04 -1.096941e-17 0.000000e+00)	(-1.479996e-04 -1.096941e-17 0.000000e+00)
3.500000e+03	bottomWall	(-1.316790e-04 4.323859e-15 0.000000e+00)	(-1.316790e-04 4.323859e-15 0.000000e+00)
3.500000e+03	topWall	(-1.316790e-04 4.535701e-18 0.000000e+00)	(-1.316790e-04 4.535701e-18 0.000000e+00)
4.000000e+03	bottomWall	(-1.188508e-04 1.712118e-15 0.000000e+00)	(-1.188508e-04 1.712118e-15 0.000000e+00)
4.000000e+03	topWall	(-1.188508e-04 -5.007556e-17 0.000000e+00)	(-1.188508e-04 -5.007556e-17 0.000000e+00)
