# y+ ()       
# Time        	patch         	min           	max           	average       
500           	bottomWall	8.631368e-02	8.631368e-02	8.631368e-02
500           	topWall	8.631366e-02	8.631366e-02	8.631366e-02
1000          	bottomWall	6.919713e-02	6.919713e-02	6.919713e-02
1000          	topWall	6.919711e-02	6.919711e-02	6.919711e-02
1500          	bottomWall	6.031994e-02	6.031994e-02	6.031994e-02
1500          	topWall	6.031992e-02	6.031992e-02	6.031992e-02
2000          	bottomWall	5.449611e-02	5.449611e-02	5.449611e-02
2000          	topWall	5.449610e-02	5.449610e-02	5.449610e-02
2500          	bottomWall	5.024520e-02	5.024520e-02	5.024520e-02
2500          	topWall	5.024518e-02	5.024518e-02	5.024518e-02
3000          	bottomWall	4.694640e-02	4.694640e-02	4.694640e-02
3000          	topWall	4.694639e-02	4.694639e-02	4.694639e-02
3500          	bottomWall	4.428232e-02	4.428232e-02	4.428232e-02
3500          	topWall	4.428230e-02	4.428230e-02	4.428230e-02
4000          	bottomWall	4.207005e-02	4.207005e-02	4.207005e-02
4000          	topWall	4.207004e-02	4.207004e-02	4.207004e-02
4500          	bottomWall	4.019756e-02	4.019756e-02	4.019756e-02
4500          	topWall	4.019755e-02	4.019755e-02	4.019755e-02
5000          	bottomWall	3.859268e-02	3.859268e-02	3.859268e-02
5000          	topWall	3.859267e-02	3.859267e-02	3.859267e-02
5500          	bottomWall	3.720724e-02	3.720724e-02	3.720724e-02
5500          	topWall	3.720723e-02	3.720723e-02	3.720723e-02
6000          	bottomWall	3.600803e-02	3.600803e-02	3.600803e-02
6000          	topWall	3.600802e-02	3.600802e-02	3.600802e-02
6500          	bottomWall	3.497136e-02	3.497136e-02	3.497136e-02
6500          	topWall	3.497135e-02	3.497135e-02	3.497135e-02
7000          	bottomWall	3.407923e-02	3.407923e-02	3.407923e-02
7000          	topWall	3.407922e-02	3.407922e-02	3.407922e-02
7500          	bottomWall	3.331640e-02	3.331640e-02	3.331640e-02
7500          	topWall	3.331639e-02	3.331639e-02	3.331639e-02
8000          	bottomWall	3.266811e-02	3.266811e-02	3.266811e-02
8000          	topWall	3.266810e-02	3.266810e-02	3.266810e-02
8500          	bottomWall	3.211876e-02	3.211876e-02	3.211876e-02
8500          	topWall	3.211875e-02	3.211875e-02	3.211875e-02
9000          	bottomWall	3.165251e-02	3.165251e-02	3.165251e-02
9000          	topWall	3.165250e-02	3.165250e-02	3.165250e-02
9500          	bottomWall	3.125456e-02	3.125456e-02	3.125456e-02
9500          	topWall	3.125455e-02	3.125455e-02	3.125455e-02
10000         	bottomWall	3.091226e-02	3.091226e-02	3.091226e-02
10000         	topWall	3.091226e-02	3.091226e-02	3.091226e-02
10500         	bottomWall	3.061549e-02	3.061549e-02	3.061549e-02
10500         	topWall	3.061548e-02	3.061548e-02	3.061548e-02
11000         	bottomWall	3.035675e-02	3.035675e-02	3.035675e-02
11000         	topWall	3.035674e-02	3.035674e-02	3.035674e-02
11500         	bottomWall	3.013106e-02	3.013106e-02	3.013106e-02
11500         	topWall	3.013105e-02	3.013105e-02	3.013105e-02
12000         	bottomWall	2.993502e-02	2.993502e-02	2.993502e-02
12000         	topWall	2.993501e-02	2.993501e-02	2.993501e-02
12500         	bottomWall	2.976325e-02	2.976325e-02	2.976325e-02
12500         	topWall	2.976324e-02	2.976324e-02	2.976324e-02
13000         	bottomWall	2.961255e-02	2.961255e-02	2.961255e-02
13000         	topWall	2.961254e-02	2.961254e-02	2.961254e-02
13500         	bottomWall	2.948182e-02	2.948182e-02	2.948182e-02
13500         	topWall	2.948181e-02	2.948181e-02	2.948181e-02
14000         	bottomWall	2.937031e-02	2.937031e-02	2.937031e-02
